content,Normalisasi,Tokenize,Stopword,Stemming
gatau ig skrng banyak bug nya mulai dari postingan ga ada suaranya dan simbol speakernya emoji yg direkomendasikan di keyboard pas dipencet beda misal sy pencet emoji yg direkomendasikan tpi pas dipencet bukan emoji yg keluar tpi emoji lain ntah bug ini cuman dihp ku aja atau smua hp gini tpi temen ku juga ngalamin hal itu udh coba ku uninstall ttp sama aja gada perubahan mohon diperbaiki ini sangat mengganggu terutama bug tidak ada suara dan simbol speaker,instagram sekarang banyak bug nya mulai dari postingan tidak ada suaranya dan simbol speakernya emoji yang direkomendasikan di keyboard saat dipencet beda misal aku pencet emoji yang direkomendasikan tapi saat dipencet bukan emoji yang keluar tapi emoji lain entah bug ini cuman dihp ku aja atau semua hp gini tapi temen ku juga ngalamin hal itu sudah coba ku uninstall tetap sama aja perubahan mohon diperbaiki ini sangat mengganggu terutama bug tidak ada suara dan simbol speaker,"['instagram', 'sekarang', 'banyak', 'bug', 'nya', 'mulai', 'dari', 'postingan', 'tidak', 'ada', 'suaranya', 'dan', 'simbol', 'speakernya', 'emoji', 'yang', 'direkomendasikan', 'di', 'keyboard', 'saat', 'dipencet', 'beda', 'misal', 'aku', 'pencet', 'emoji', 'yang', 'direkomendasikan', 'tapi', 'saat', 'dipencet', 'bukan', 'emoji', 'yang', 'keluar', 'tapi', 'emoji', 'lain', 'entah', 'bug', 'ini', 'cuman', 'dihp', 'ku', 'aja', 'atau', 'semua', 'hp', 'gini', 'tapi', 'temen', 'ku', 'juga', 'ngalamin', 'hal', 'itu', 'sudah', 'coba', 'ku', 'uninstall', 'tetap', 'sama', 'aja', 'perubahan', 'mohon', 'diperbaiki', 'ini', 'sangat', 'mengganggu', 'terutama', 'bug', 'tidak', 'ada', 'suara', 'dan', 'simbol', 'speaker']","['instagram', 'bug', 'nya', 'postingan', 'suaranya', 'simbol', 'speakernya', 'emoji', 'direkomendasikan', 'keyboard', 'dipencet', 'beda', 'pencet', 'emoji', 'direkomendasikan', 'dipencet', 'emoji', 'emoji', 'bug', 'cuman', 'dihp', 'ku', 'aja', 'hp', 'gini', 'temen', 'ku', 'ngalamin', 'coba', 'ku', 'uninstall', 'aja', 'perubahan', 'mohon', 'diperbaiki', 'mengganggu', 'bug', 'suara', 'simbol', 'speaker']",instagram bug nya postingan suara simbol speakernya emoji rekomendasi keyboard pencet beda pencet emoji rekomendasi pencet emoji emoji bug cuman dihp aja gin temen ngalamin coba uninstall aja ubah mohon baik ganggu bug suara simbol speaker
tolong diperbaiki dong bug suara yg dipostingan setiap saya melihat postingan ig dengan foto lebih dari postingan foto slide suara lagu selalu tidak ada dan simbol speaker yg dipojok kanan bawah pun tidak ada berbeda dengan postingan foto saja disana suara lagu selalu keluar dan tidak ada kendala segera diperbaiki karena bug nya terlalu meresahkan dan menganggu,tolong diperbaiki dong bug suara yang dipostingan setiap saya melihat postingan instagram dengan foto lebih dari postingan foto slide suara lagu selalu tidak ada dan simbol speaker yang dipojok kanan bawah pun tidak ada berbeda dengan postingan foto saja disana suara lagu selalu keluar dan tidak ada kendala segera diperbaiki karena bug nya terlalu meresahkan dan menganggu,"['tolong', 'diperbaiki', 'dong', 'bug', 'suara', 'yang', 'dipostingan', 'setiap', 'saya', 'melihat', 'postingan', 'instagram', 'dengan', 'foto', 'lebih', 'dari', 'postingan', 'foto', 'slide', 'suara', 'lagu', 'selalu', 'tidak', 'ada', 'dan', 'simbol', 'speaker', 'yang', 'dipojok', 'kanan', 'bawah', 'pun', 'tidak', 'ada', 'berbeda', 'dengan', 'postingan', 'foto', 'saja', 'disana', 'suara', 'lagu', 'selalu', 'keluar', 'dan', 'tidak', 'ada', 'kendala', 'segera', 'diperbaiki', 'karena', 'bug', 'nya', 'terlalu', 'meresahkan', 'dan', 'menganggu']","['tolong', 'diperbaiki', 'bug', 'suara', 'dipostingan', 'postingan', 'instagram', 'foto', 'postingan', 'foto', 'slide', 'suara', 'lagu', 'simbol', 'speaker', 'dipojok', 'kanan', 'berbeda', 'postingan', 'foto', 'disana', 'suara', 'lagu', 'kendala', 'diperbaiki', 'bug', 'nya', 'meresahkan', 'menganggu']",tolong baik bug suara dipostingan postingan instagram foto postingan foto slide suara lagu simbol speaker pojok kanan beda postingan foto sana suara lagu kendala baik bug nya resah menganggu
gimana ya ig makin kesini makin banyak bug nya awalnya maklum tapi lama bikin kesel juga salah satu yang bikin aku kesel banget akhir ini pas aku posting video dikasih musik atau ga ga pernah bisa kekirim loading lama banget trs di pojok kiri bawa ada tulisan menunggu koneksi aku udah coba hapus posting lagi berulang dan coba posting beberapa video yang berbeda tapi tetep aja ga bisa aku capek bangett udah abis kesabaran aku yaa tolong dong perbaikannya plss,gimana ya instagram makin kesini makin banyak bug nya awalnya maklum tapi lama bikin kesal juga salah satu yang bikin aku kesal banget akhir ini saat aku posting video dikasih musik atau tidak tidak pernah bisa kekirim loading lama banget terus di pojok kiri bawa ada tulisan menunggu koneksi aku udah coba hapus posting lagi berulang dan coba posting beberapa video yang berbeda tapi tetap aja tidak bisa aku capek banget udah abis kesabaran aku yaa tolong dong perbaikannya plss,"['gimana', 'ya', 'instagram', 'makin', 'kesini', 'makin', 'banyak', 'bug', 'nya', 'awalnya', 'maklum', 'tapi', 'lama', 'bikin', 'kesal', 'juga', 'salah', 'satu', 'yang', 'bikin', 'aku', 'kesal', 'banget', 'akhir', 'ini', 'saat', 'aku', 'posting', 'video', 'dikasih', 'musik', 'atau', 'tidak', 'tidak', 'pernah', 'bisa', 'kekirim', 'loading', 'lama', 'banget', 'terus', 'di', 'pojok', 'kiri', 'bawa', 'ada', 'tulisan', 'menunggu', 'koneksi', 'aku', 'udah', 'coba', 'hapus', 'posting', 'lagi', 'berulang', 'dan', 'coba', 'posting', 'beberapa', 'video', 'yang', 'berbeda', 'tapi', 'tetap', 'aja', 'tidak', 'bisa', 'aku', 'capek', 'banget', 'udah', 'abis', 'kesabaran', 'aku', 'yaa', 'tolong', 'dong', 'perbaikannya', 'plss']","['gimana', 'ya', 'instagram', 'kesini', 'bug', 'nya', 'maklum', 'bikin', 'kesal', 'salah', 'bikin', 'kesal', 'banget', 'posting', 'video', 'dikasih', 'musik', 'kekirim', 'loading', 'banget', 'pojok', 'kiri', 'bawa', 'tulisan', 'menunggu', 'koneksi', 'udah', 'coba', 'hapus', 'posting', 'berulang', 'coba', 'posting', 'video', 'berbeda', 'aja', 'capek', 'banget', 'udah', 'abis', 'kesabaran', 'yaa', 'tolong', 'perbaikannya', 'plss']",gimana instagram kesini bug nya maklum bikin kesal salah bikin kesal banget posting video kasih musik kirim loading banget pojok kiri bawa tulis tunggu koneksi udah coba hapus posting ulang coba posting video beda aja capek banget udah abis sabar yaa tolong baik plss
kenapa ya akun instagram saya ketiga nya jika menonton video reels suka delay videonya dari suaranya ga sesuai dengan suaranya gitu lho saya sudah uninstall aplikasi sudah hapus data masih aja video reelsnya delay bikin nonton jadi ga nyaman padahal buka tiktok videonya ga delay saya ga tau ini cuma hp saya doang atau ga tapi jujur ini ga nyaman banget tolong diperbaiki bugnya,kenapa ya akun instagram saya ketiga nya jika menonton video reels suka delay videonya dari suaranya tidak sesuai dengan suaranya gitu lho saya sudah uninstall aplikasi sudah hapus data masih aja video reelsnya delay bikin nonton jadi tidak nyaman padahal buka tiktok videonya tidak delay saya tidak tau ini cuma hp saya doang atau tidak tapi jujur ini tidak nyaman banget tolong diperbaiki bugnya,"['kenapa', 'ya', 'akun', 'instagram', 'saya', 'ketiga', 'nya', 'jika', 'menonton', 'video', 'reels', 'suka', 'delay', 'videonya', 'dari', 'suaranya', 'tidak', 'sesuai', 'dengan', 'suaranya', 'gitu', 'lho', 'saya', 'sudah', 'uninstall', 'aplikasi', 'sudah', 'hapus', 'data', 'masih', 'aja', 'video', 'reelsnya', 'delay', 'bikin', 'nonton', 'jadi', 'tidak', 'nyaman', 'padahal', 'buka', 'tiktok', 'videonya', 'tidak', 'delay', 'saya', 'tidak', 'tau', 'ini', 'cuma', 'hp', 'saya', 'doang', 'atau', 'tidak', 'tapi', 'jujur', 'ini', 'tidak', 'nyaman', 'banget', 'tolong', 'diperbaiki', 'bugnya']","['ya', 'akun', 'instagram', 'ketiga', 'nya', 'menonton', 'video', 'reels', 'suka', 'delay', 'videonya', 'suaranya', 'sesuai', 'suaranya', 'gitu', 'lho', 'uninstall', 'aplikasi', 'hapus', 'data', 'aja', 'video', 'reelsnya', 'delay', 'bikin', 'nonton', 'nyaman', 'buka', 'tiktok', 'videonya', 'delay', 'tau', 'hp', 'doang', 'jujur', 'nyaman', 'banget', 'tolong', 'diperbaiki', 'bugnya']",akun instagram tiga nya tonton video reels suka delay video suara sesuai suara gitu lho uninstall aplikasi hapus data aja video reelsnya delay bikin nonton nyaman buka tiktok video delay tau doang jujur nyaman banget tolong baik bugnya
saya suka intagram begitu banyak video bermanfaat di dalamnya namu saya jarang membukanya di karenakan videonya berresolusi sangat tinggi sehingga menghabiskan banyak data saya saya mohon untuk pihak insta untuk menyediakan kualitas video nya di insta dan bisa memilih sendiri kualitas video sesuai kesediaan data masing masing terimakasih intagram,saya suka intagram begitu banyak video bermanfaat di dalamnya namu saya jarang membukanya di karenakan videonya berresolusi sangat tinggi sehingga menghabiskan banyak data saya saya mohon untuk pihak insta untuk menyediakan kualitas video nya di insta dan bisa memilih sendiri kualitas video sesuai kesediaan data masing masing intagram,"['saya', 'suka', 'intagram', 'begitu', 'banyak', 'video', 'bermanfaat', 'di', 'dalamnya', 'namu', 'saya', 'jarang', 'membukanya', 'di', 'karenakan', 'videonya', 'berresolusi', 'sangat', 'tinggi', 'sehingga', 'menghabiskan', 'banyak', 'data', 'saya', 'saya', 'mohon', 'untuk', 'pihak', 'insta', 'untuk', 'menyediakan', 'kualitas', 'video', 'nya', 'di', 'insta', 'dan', 'bisa', 'memilih', 'sendiri', 'kualitas', 'video', 'sesuai', 'kesediaan', 'data', 'masing', 'masing', 'intagram']","['suka', 'intagram', 'video', 'bermanfaat', 'dalamnya', 'namu', 'jarang', 'membukanya', 'karenakan', 'videonya', 'berresolusi', 'menghabiskan', 'data', 'mohon', 'insta', 'menyediakan', 'kualitas', 'video', 'nya', 'insta', 'memilih', 'kualitas', 'video', 'sesuai', 'kesediaan', 'data', 'intagram']",suka intagram video manfaat dalam namu jarang buka karena video resolusi habis data mohon insta sedia kualitas video nya insta pilih kualitas video sesuai sedia data intagram
habis di update kok reels nya malah ngelag ya kadang ga bisa keputer juga padahal sinyal lancar juga dibagian menambahkan lagu di story kadang foto yang diberi lagunya jadi blur itu sih saran saya diperbaiki bug nya terimakasih,habis di update kok reels nya malah ngelag ya kadang tidak bisa keputer juga padahal sinyal lancar juga dibagian menambahkan lagu di story kadang foto yang diberi lagunya jadi blur itu sih saran saya diperbaiki bug nya,"['habis', 'di', 'update', 'kok', 'reels', 'nya', 'malah', 'ngelag', 'ya', 'kadang', 'tidak', 'bisa', 'keputer', 'juga', 'padahal', 'sinyal', 'lancar', 'juga', 'dibagian', 'menambahkan', 'lagu', 'di', 'story', 'kadang', 'foto', 'yang', 'diberi', 'lagunya', 'jadi', 'blur', 'itu', 'sih', 'saran', 'saya', 'diperbaiki', 'bug', 'nya']","['habis', 'update', 'reels', 'nya', 'ngelag', 'ya', 'kadang', 'keputer', 'sinyal', 'lancar', 'dibagian', 'lagu', 'story', 'kadang', 'foto', 'lagunya', 'blur', 'sih', 'saran', 'diperbaiki', 'bug', 'nya']",habis update reels nya ngelag kadang puter sinyal lancar bagi lagu story kadang foto lagu blur sih saran baik bug nya
setelah update jadi makin ngaco sekarang setiap ada video kita tap normalnya untuk mengaktifkan suara sekarang malah jadi reel padahal video tsb bukan reel semakin mirip aplikasi tiktod tolong kembalikan fungsi lama seperti semula setelah update tampilan berubah lagi belajar uinya lagi bukannya mempermudah user malah makin bikin bingung,setelah update jadi makin kacau sekarang setiap ada video kita tap normalnya untuk mengaktifkan suara sekarang malah jadi reel padahal video tersebut bukan reel semakin mirip aplikasi tiktod tolong kembalikan fungsi lama seperti semula setelah update tampilan berubah lagi belajar uinya lagi bukannya mempermudah user malah makin bikin bingung,"['setelah', 'update', 'jadi', 'makin', 'kacau', 'sekarang', 'setiap', 'ada', 'video', 'kita', 'tap', 'normalnya', 'untuk', 'mengaktifkan', 'suara', 'sekarang', 'malah', 'jadi', 'reel', 'padahal', 'video', 'tersebut', 'bukan', 'reel', 'semakin', 'mirip', 'aplikasi', 'tiktod', 'tolong', 'kembalikan', 'fungsi', 'lama', 'seperti', 'semula', 'setelah', 'update', 'tampilan', 'berubah', 'lagi', 'belajar', 'uinya', 'lagi', 'bukannya', 'mempermudah', 'user', 'malah', 'makin', 'bikin', 'bingung']","['update', 'kacau', 'video', 'tap', 'normalnya', 'mengaktifkan', 'suara', 'reel', 'video', 'reel', 'aplikasi', 'tiktod', 'tolong', 'kembalikan', 'fungsi', 'update', 'tampilan', 'berubah', 'belajar', 'uinya', 'mempermudah', 'user', 'bikin', 'bingung']",update kacau video tap normal aktif suara reel video reel aplikasi tiktod tolong kembali fungsi update tampil ubah ajar uinya mudah user bikin bingung
terus tingkatkan fitur dan efisiensi fitur repost reels ke instastory dengan background foto dah ada cmn isi konten video tidak muncul padahal sudah di taruh pada layer atas sendiri,terus tingkatkan fitur dan efisiensi fitur repost reels ke instastory dengan background foto dah ada cuman isi konten video tidak muncul padahal sudah di taruh pada layer atas sendiri,"['terus', 'tingkatkan', 'fitur', 'dan', 'efisiensi', 'fitur', 'repost', 'reels', 'ke', 'instastory', 'dengan', 'background', 'foto', 'dah', 'ada', 'cuman', 'isi', 'konten', 'video', 'tidak', 'muncul', 'padahal', 'sudah', 'di', 'taruh', 'pada', 'layer', 'atas', 'sendiri']","['tingkatkan', 'fitur', 'efisiensi', 'fitur', 'repost', 'reels', 'instastory', 'background', 'foto', 'dah', 'cuman', 'isi', 'konten', 'video', 'muncul', 'taruh', 'layer']",tingkat fitur efisiensi fitur repost reels instastory background foto dah cuman isi konten video muncul taruh layer
apalahh instagram makin lama makin banyak bug nya dari filter bahkan kalo mau post reel atau story juga selalu ada tulisan kesalahan udah berkali kali dicoba masih aja kyk gitu tolong dong di perbaiki kesabaran gw yang setipis tisu berkelahi dengan bug instagram,apalahh instagram makin lama makin banyak bug nya dari filter bahkan kalo mau post reel atau story juga selalu ada tulisan kesalahan udah berkali kali dicoba masih aja kayak gitu tolong dong di perbaiki kesabaran aku yang setipis tisu berkelahi dengan bug instagram,"['apalahh', 'instagram', 'makin', 'lama', 'makin', 'banyak', 'bug', 'nya', 'dari', 'filter', 'bahkan', 'kalo', 'mau', 'post', 'reel', 'atau', 'story', 'juga', 'selalu', 'ada', 'tulisan', 'kesalahan', 'udah', 'berkali', 'kali', 'dicoba', 'masih', 'aja', 'kayak', 'gitu', 'tolong', 'dong', 'di', 'perbaiki', 'kesabaran', 'aku', 'yang', 'setipis', 'tisu', 'berkelahi', 'dengan', 'bug', 'instagram']","['apalahh', 'instagram', 'bug', 'nya', 'filter', 'kalo', 'post', 'reel', 'story', 'tulisan', 'kesalahan', 'udah', 'berkali', 'kali', 'dicoba', 'aja', 'kayak', 'gitu', 'tolong', 'perbaiki', 'kesabaran', 'setipis', 'tisu', 'berkelahi', 'bug', 'instagram']",apalahh instagram bug nya filter kalo post reel story tulis salah udah kali kali coba aja kayak gitu tolong baik sabar setip tisu kelah bug instagram
tolong pihak instagram perbaiki juga bagian arsipnya masa iya dengan alasan teknis tapi tidak bisa diperbaiki dan malah akan dihapus arsip yang sudah orang simpan sayang sekali orang sudah menyimpan momennya masing masing diarsip itu dari setiap tahun,tolong pihak instagram perbaiki juga bagian arsipnya masa iya dengan alasan teknis tapi tidak bisa diperbaiki dan malah akan dihapus arsip yang sudah orang simpan sayang sekali orang sudah menyimpan momennya masing masing diarsip itu dari setiap tahun,"['tolong', 'pihak', 'instagram', 'perbaiki', 'juga', 'bagian', 'arsipnya', 'masa', 'iya', 'dengan', 'alasan', 'teknis', 'tapi', 'tidak', 'bisa', 'diperbaiki', 'dan', 'malah', 'akan', 'dihapus', 'arsip', 'yang', 'sudah', 'orang', 'simpan', 'sayang', 'sekali', 'orang', 'sudah', 'menyimpan', 'momennya', 'masing', 'masing', 'diarsip', 'itu', 'dari', 'setiap', 'tahun']","['tolong', 'instagram', 'perbaiki', 'arsipnya', 'iya', 'alasan', 'teknis', 'diperbaiki', 'dihapus', 'arsip', 'orang', 'simpan', 'sayang', 'orang', 'menyimpan', 'momennya', 'diarsip']",tolong instagram baik arsip iya alas teknis baik hapus arsip orang simpan sayang orang simpan momen arsip
